CODREL,NOME_RELATORIO,NIVEL,MODULO,SUBMODULO,PERMISSAO
2,Cadastro de Tipo de Combustivel,OPERADOR,Frota,Cadastrais,1
3,Cadastro de Frota,OPERADOR,Frota,Cadastrais,1
4,Cadastro de Marcas de Veículo,OPERADOR - FILIAL,Frota,Cadastrais,1
5,Cadastro de Modelo de Veículos,OPERADOR - FILIAL,Frota,Cadastrais,1
6,Cadastro de Pneus,OPERADOR,Frota,Cadastrais,1
7,Cadastro de Marcar de Pneu,OPERADOR,Frota,Cadastrais,1
9,Cadastro de Linhas e Itinerário,OPERADOR,Frota,Cadastrais,1
11,Cadastro de Municipios,OPERADOR,Frota,Cadastrais,1
19,Cadastro de Unidade de Negocio,OPERADOR,Parametros,Cadastrais,1
20,Cadastro de Praça de Pedagios,OPERADOR,Frota,Cadastrais,1
21,Cadastro de Região,OPERADOR,Comercial,Cadastrais,1
23,Cadastro de Administradora,OPERADOR,Frota,Cadastrais,1
24,Cadastro de Dimensão de Pneu,OPERADOR,Frota,Cadastrais,1
30,Cadastro de Bombas,OPERADOR,Frota,Cadastrais,1
32,Cadastro de Cartões,OPERADOR,Frota,Cadastrais,1
36,Cadastro de Setores de Oficina,OPERADOR,Manutencao,Cadastrais,1
38,Cadastro de Conjuntos,OPERADOR,Manutencao,Cadastrais,1
41,Cadastro de Sub-Grupos de Produto,OPERADOR,Materiais,Cadastrais,1
42,Cadastro de Produtos,MATERIAIS,Materiais,Cadastrais,1
43,Cadastro de Produtos por Fornecedor,MATERIAIS,Materiais,Cadastrais,1
48,Cadastro de Veiculo,OPERADOR,Frota,Cadastrais,1
49,Listagem Plano de Contas,OPERADOR,Contabilidade,Cadastrais,1
50,Grupos Fiscais de Produtos,FISCAIS,Fiscal,Cadastrais,0
51,Parceiros Comerciais,OPERADOR,Comercial,Cadastrais,1
52,Produto Serviço de Transporte,FISCAIS,Comercial,Cadastrais,0
53,Tabela de Frete,OPERADOR,Comercial,Cadastrais,1
57,Tabela de Frete por Manifesto,OPERADOR,Comercial,Cadastrais,1
61,Contrato de Serviço,OPERADOR,Faturamento,Cadastrais,1
63,Ocorrências por Entrega,OPERADOR,Faturamento,Cadastrais,1
64,Ocorrências de Entrega por Cliente,OPERADOR,Faturamento,Cadastrais,1
66,Observações de Entrega por Cliente,OPERADOR,Faturamento,Cadastrais,1
69,Cadastro de Motoristas,OPERADOR,Frota,Cadastrais,1
70,Emissão de Fatura,OPERADOR,Faturamento,Movimentação,1
71,Emissão DACTE,OPERADOR - FILIAL,Faturamento,Movimentação,1
72,Emissão MDFE,OPERADOR - FILIAL,Faturamento,Movimentação,1
73,Relatório Motoristas (Exportar),OPERADOR,Frota,Cadastrais,1
74,Balancete,CONTABILIDADE,Contabilidade,Movimentação,1
75,Tabela de Frete por Cliente,OPERADOR,Faturamento,Cadastrais,1
76,Tabela de Frete,OPERADOR,Faturamento,Cadastrais,1
